model_id,branch_epoch,termination_epoch,model_path,clean_accuracy,severity_1,severity_2,severity_3,severity_4,severity_5
1,180,253,epoch_180_model_1.pt,74.19,63.24789473684209,54.795263157894745,49.22842105263158,42.891578947368416,33.33736842105264
1,190,281,epoch_190_model_1.pt,78.53,66.73894736842105,57.9278947368421,51.79578947368421,44.61578947368421,34.12368421052632
1,200,271,epoch_200_model_1.pt,78.69,66.55578947368421,57.53736842105263,51.677894736842106,44.74210526315789,34.572105263157894
1,210,285,epoch_210_model_1.pt,78.82,66.87157894736842,57.997368421052634,52.16578947368421,45.37473684210527,35.13894736842105
1,220,284,epoch_220_model_1.pt,78.85,66.69894736842106,57.817894736842106,52.30368421052632,45.40052631578948,35.20894736842106
1,230,272,epoch_230_model_1.pt,78.59,66.68631578947368,58.007368421052625,52.08052631578947,45.037368421052626,34.65578947368421
1,240,288,epoch_240_model_1.pt,78.21,66.36894736842106,57.70842105263158,52.11157894736843,45.24315789473684,35.01842105263158
1,250,284,epoch_250_model_1.pt,78.45,66.4636842105263,57.598421052631586,51.948947368421045,45.07631578947368,34.83263157894737
1,260,285,epoch_260_model_1.pt,78.1,66.22421052631579,57.50210526315788,51.8821052631579,45.07,35.19052631578947
1,270,274,epoch_270_model_1.pt,78.93,66.86,57.91473684210527,52.25473684210525,45.41315789473684,35.455789473684206
1,280,283,epoch_280_model_1.pt,79.31,67.22157894736841,58.561578947368425,52.826842105263154,46.11315789473684,35.944210526315786
1,290,291,epoch_290_model_1.pt,78.97,67.14999999999999,58.373157894736835,52.68894736842107,45.89473684210526,35.85526315789474
1,300,301,epoch_300_model_1.pt,76.95,64.84052631578946,56.04526315789473,50.58315789473685,44.10473684210526,34.303684210526306
2,190,304,epoch_190_model_2.pt,78.96,67.28052631578947,58.80894736842106,53.189473684210526,46.21210526315789,35.96157894736842
2,200,299,epoch_200_model_2.pt,79.03,67.07526315789472,58.44473684210525,52.874736842105264,46.09105263157894,35.72105263157895
2,210,304,epoch_210_model_2.pt,79.26,67.66315789473686,59.120000000000026,53.49631578947369,46.68736842105263,36.687894736842104
2,220,255,epoch_220_model_2.pt,78.96,67.61578947368423,58.81526315789473,53.08894736842105,46.19684210526315,36.17105263157896
2,230,297,epoch_230_model_2.pt,79.19,67.72315789473683,59.095263157894735,53.40105263157895,46.49894736842106,36.37894736842105
2,240,287,epoch_240_model_2.pt,79.05,67.45421052631578,58.87526315789473,53.1142105263158,46.24947368421052,36.12684210526315
2,250,273,epoch_250_model_2.pt,78.92,67.33105263157896,58.69052631578948,53.024210526315784,46.22,36.06842105263158
2,260,307,epoch_260_model_2.pt,79.07,67.3278947368421,58.515263157894736,52.92473684210527,46.08052631578946,36.00736842105263
2,270,299,epoch_270_model_2.pt,79.18,67.59263157894736,58.82947368421053,53.125263157894736,46.29105263157894,36.25684210526316
2,280,309,epoch_280_model_2.pt,79.36,67.42210526315789,58.63368421052631,52.89631578947369,46.05157894736843,36.03684210526316
2,290,307,epoch_290_model_2.pt,79.29,67.43894736842105,58.68894736842105,53.0136842105263,46.145789473684204,36.08631578947369
2,300,305,epoch_300_model_2.pt,79.19,67.33105263157896,58.54947368421053,52.83894736842105,46.04157894736843,35.99736842105263
3,180,252,epoch_180_model_3.pt,78.4,66.69736842105263,58.33315789473685,52.91578947368421,46.35,36.27894736842105
3,190,278,epoch_190_model_3.pt,79.15,67.18,58.68631578947368,53.08210526315789,46.24894736842106,36.06
3,200,290,epoch_200_model_3.pt,79.43,67.56842105263159,58.94315789473685,53.031052631578945,46.13473684210527,35.990526315789474
3,210,282,epoch_210_model_3.pt,79.68,67.80578947368421,59.16631578947368,53.54052631578947,46.6357894736842,36.46263157894736
3,220,295,epoch_220_model_3.pt,79.1,67.51578947368421,58.888421052631585,53.21052631578948,46.14052631578947,36.0457894736842
3,230,288,epoch_230_model_3.pt,79.31,67.31421052631579,58.597368421052636,52.79421052631579,45.76894736842104,35.616315789473695
3,240,257,epoch_240_model_3.pt,78.48,66.9721052631579,58.5121052631579,52.976842105263174,46.131578947368425,36.10631578947369
3,250,268,epoch_250_model_3.pt,79.1,67.26631578947368,58.60473684210526,52.967894736842105,46.10210526315788,36.00631578947368
3,260,298,epoch_260_model_3.pt,79.4,67.49052631578945,58.863157894736844,53.23684210526316,46.313157894736854,36.22842105263159
3,270,300,epoch_270_model_3.pt,79.38,67.04894736842104,58.463684210526324,52.812105263157896,46.17947368421053,36.01631578947368
3,280,296,epoch_280_model_3.pt,79.15,67.45526315789475,59.014736842105265,53.46473684210526,46.809999999999995,36.71
3,290,306,epoch_290_model_3.pt,79.08,67.42105263157895,58.99631578947369,53.49578947368421,46.757894736842104,36.66842105263158
3,300,309,epoch_300_model_3.pt,79.11,67.28947368421052,58.58894736842107,52.8078947368421,46.069473684210514,36.04
4,190,288,epoch_190_model_4.pt,78.91,67.20368421052632,58.56052631578947,52.9078947368421,46.088421052631574,36.02157894736842
4,200,249,epoch_200_model_4.pt,78.9,67.4978947368421,58.8442105263158,53.206315789473685,46.35421052631579,36.244736842105254
4,210,272,epoch_210_model_4.pt,78.98,67.08947368421053,58.33157894736842,52.71000000000001,45.857368421052634,35.53473684210527
4,220,282,epoch_220_model_4.pt,78.84,67.03578947368423,58.162105263157905,52.34,45.49105263157895,35.483157894736834
4,230,289,epoch_230_model_4.pt,78.89,67.19315789473684,58.60894736842106,52.98842105263159,46.24473684210527,36.186315789473674
4,240,288,epoch_240_model_4.pt,78.86,66.93526315789472,58.285263157894725,52.85736842105263,46.076315789473675,36.06105263157895
4,250,298,epoch_250_model_4.pt,79.02,67.22473684210524,58.71789473684211,53.150000000000006,46.40947368421053,36.30052631578947
4,260,308,epoch_260_model_4.pt,79.27,67.26736842105264,58.635789473684206,53.08526315789474,46.30684210526316,36.26368421052631
4,270,271,epoch_270_model_4.pt,79.15,67.59263157894736,58.92947368421052,53.1378947368421,46.311578947368425,36.28368421052632
4,280,293,epoch_280_model_4.pt,79.41,67.3736842105263,58.71684210526316,53.068421052631585,46.33157894736843,36.298421052631575
4,290,303,epoch_290_model_4.pt,79.36,67.36000000000001,58.66736842105261,53.0221052631579,46.36526315789473,36.33263157894737
4,300,306,epoch_300_model_4.pt,79.24,67.36263157894734,58.548947368421054,52.887368421052635,46.12947368421053,36.07526315789473
